year,month,day,price
2021,12,1,57184
2021,12,2,56480
2021,12,3,53601
2021,12,4,49152
2021,12,5,49396
2021,12,6,50441
2021,12,7,50588
2021,12,8,50471
2021,12,9,47545
2021,12,10,47140
2021,12,11,49389
2021,12,12,50053
2021,12,13,46702
2021,12,14,48343
2021,12,15,48864
2021,12,16,47632
2021,12,17,46131
2021,12,18,46834
2021,12,19,46681
2021,12,20,46914
2021,12,21,48889
2021,12,22,48588
2021,12,23,50838
2021,12,24,50820
2021,12,25,50399
2021,12,26,50775
2021,12,27,50701
2021,12,28,47543
2021,12,29,46464
2021,12,30,47120
2021,12,31,46216
