timestamp,date,year,month,day,hour,minute,price
1509494400000,2017-11-01,2017,11,1,0,0,6753.98
1509580800000,2017-11-02,2017,11,2,0,0,7019.98
1509667200000,2017-11-03,2017,11,3,0,0,7115.04
1509753600000,2017-11-04,2017,11,4,0,0,7357.09
1509840000000,2017-11-05,2017,11,5,0,0,7345.01
1509926400000,2017-11-06,2017,11,6,0,0,6960.12
1510012800000,2017-11-07,2017,11,7,0,0,7064.04
1510099200000,2017-11-08,2017,11,8,0,0,7303.0
1510185600000,2017-11-09,2017,11,9,0,0,7079.99
1510272000000,2017-11-10,2017,11,10,0,0,6506.98
1510358400000,2017-11-11,2017,11,11,0,0,6245.05
1510444800000,2017-11-12,2017,11,12,0,0,5811.03
1510531200000,2017-11-13,2017,11,13,0,0,6465.99
1510617600000,2017-11-14,2017,11,14,0,0,6574.99
1510704000000,2017-11-15,2017,11,15,0,0,7240.06
1510790400000,2017-11-16,2017,11,16,0,0,7864.5
1510876800000,2017-11-17,2017,11,17,0,0,7699.19
1510963200000,2017-11-18,2017,11,18,0,0,7761.94
1511049600000,2017-11-19,2017,11,19,0,0,8038.0
1511136000000,2017-11-20,2017,11,20,0,0,8212.0
1511222400000,2017-11-21,2017,11,21,0,0,8119.51
1511308800000,2017-11-22,2017,11,22,0,0,8205.92
1511395200000,2017-11-23,2017,11,23,0,0,8019.99
1511481600000,2017-11-24,2017,11,24,0,0,8138.0
1511568000000,2017-11-25,2017,11,25,0,0,8700.01
1511654400000,2017-11-26,2017,11,26,0,0,9128.02
1511740800000,2017-11-27,2017,11,27,0,0,9650.0
1511827200000,2017-11-28,2017,11,28,0,0,9896.8
1511913600000,2017-11-29,2017,11,29,0,0,9687.88
1512000000000,2017-11-30,2017,11,30,0,0,9838.96
