year,month,day,price
2022,3,1,44421
2022,3,2,43892
2022,3,3,42454
2022,3,4,39148
2022,3,5,39397
2022,3,6,38420
2022,3,7,37988
2022,3,8,38730
2022,3,9,41941
2022,3,10,39422
2022,3,11,38729
2022,3,12,38807
2022,3,13,37777
2022,3,14,39671
2022,3,15,39280
2022,3,16,41114
2022,3,17,40917
2022,3,18,41757
2022,3,19,42201
2022,3,20,41262
2022,3,21,41002
2022,3,22,42364
2022,3,23,42882
2022,3,24,43991
2022,3,25,44313
2022,3,26,44511
2022,3,27,46827
2022,3,28,47122
2022,3,29,47434
2022,3,30,47067
2022,3,31,45510
