year,month,day,price
2021,3,1,49587
2021,3,2,48440
2021,3,3,50349
2021,3,4,48374
2021,3,5,48751
2021,3,6,48882
2021,3,7,50971
2021,3,8,52375
2021,3,9,54884
2021,3,10,55851
2021,3,11,57773
2021,3,12,57221
2021,3,13,61188
2021,3,14,58968
2021,3,15,55605
2021,3,16,56900
2021,3,17,58912
2021,3,18,57648
2021,3,19,58030
2021,3,20,58102
2021,3,21,57351
2021,3,22,54083
2021,3,23,54340
2021,3,24,52303
2021,3,25,51293
2021,3,26,55025
2021,3,27,55817
2021,3,28,55777
2021,3,29,57635
2021,3,30,58746
2021,3,31,58740
