year,month,day,price
2021,1,1,29331
2021,1,2,32178
2021,1,3,33000
2021,1,4,31988
2021,1,5,33949
2021,1,6,36769
2021,1,7,39432
2021,1,8,40582
2021,1,9,40088
2021,1,10,38150
2021,1,11,35404
2021,1,12,34051
2021,1,13,37371
2021,1,14,39144
2021,1,15,36742
2021,1,16,35994
2021,1,17,35828
2021,1,18,36631
2021,1,19,35891
2021,1,20,35468
2021,1,21,30850
2021,1,22,32945
2021,1,23,32078
2021,1,24,32259
2021,1,25,32254
2021,1,26,32467
2021,1,27,30366
2021,1,28,33364
2021,1,29,34252
2021,1,30,34262
2021,1,31,33092
2021,2,1,33526
2021,2,2,35466
2021,2,3,37618
2021,2,4,36936
2021,2,5,38290
2021,2,6,39186
2021,2,7,38795
2021,2,8,46374
2021,2,9,46420
2021,2,10,44807
2021,2,11,47969
2021,2,12,47287
2021,2,13,47153
2021,2,14,48577
2021,2,15,47911
2021,2,16,49133
2021,2,17,52119
2021,2,18,51552
2021,2,19,55906
2021,2,20,55841
2021,2,21,57408
2021,2,22,54087
2021,2,23,48891
2021,2,24,49676
2021,2,25,47073
2021,2,26,46276
2021,2,27,46106
2021,2,28,45135
2021,3,1,49587
2021,3,2,48440
2021,3,3,50349
2021,3,4,48374
2021,3,5,48751
2021,3,6,48882
2021,3,7,50971
2021,3,8,52375
2021,3,9,54884
2021,3,10,55851
2021,3,11,57773
2021,3,12,57221
2021,3,13,61188
2021,3,14,58968
2021,3,15,55605
2021,3,16,56900
2021,3,17,58912
2021,3,18,57648
2021,3,19,58030
2021,3,20,58102
2021,3,21,57351
2021,3,22,54083
2021,3,23,54340
2021,3,24,52303
2021,3,25,51293
2021,3,26,55025
2021,3,27,55817
2021,3,28,55777
2021,3,29,57635
2021,3,30,58746
2021,3,31,58740
2021,4,1,58720
2021,4,2,58950
2021,4,3,57051
2021,4,4,58202
2021,4,5,59129
2021,4,6,57991
2021,4,7,55953
2021,4,8,58077
2021,4,9,58142
2021,4,10,59769
2021,4,11,60002
2021,4,12,59860
2021,4,13,63575
2021,4,14,62959
2021,4,15,63159
2021,4,16,61334
2021,4,17,60006
2021,4,18,56150
2021,4,19,55633
2021,4,20,56425
2021,4,21,53787
2021,4,22,51690
2021,4,23,51125
2021,4,24,50047
2021,4,25,49066
2021,4,26,54001
2021,4,27,55011
2021,4,28,54846
2021,4,29,53555
2021,4,30,57694
2021,5,1,57800
2021,5,2,56578
2021,5,3,57169
2021,5,4,53200
2021,5,5,57436
2021,5,6,56393
2021,5,7,57314
2021,5,8,58862
2021,5,9,58240
2021,5,10,55816
2021,5,11,56670
2021,5,12,49631
2021,5,13,49670
2021,5,14,49841
2021,5,15,46762
2021,5,16,46431
2021,5,17,43538
2021,5,18,42849
2021,5,19,36690
2021,5,20,40526
2021,5,21,37252
2021,5,22,37449
2021,5,23,34655
2021,5,24,38796
2021,5,25,38324
2021,5,26,39241
2021,5,27,38529
2021,5,28,35663
2021,5,29,34605
2021,5,30,35641
2021,5,31,37253
2021,6,1,36693
2021,6,2,37568
2021,6,3,39246
2021,6,4,36829
2021,6,5,35513
2021,6,6,35796
2021,6,7,33552
2021,6,8,33380
2021,6,9,37388
2021,6,10,36675
2021,6,11,37331
2021,6,12,35546
2021,6,13,39020
2021,6,14,40516
2021,6,15,40144
2021,6,16,38349
2021,6,17,38092
2021,6,18,35819
2021,6,19,35483
2021,6,20,35600
2021,6,21,31608
2021,6,22,32509
2021,6,23,33678
2021,6,24,34663
2021,6,25,31584
2021,6,26,32283
2021,6,27,34700
2021,6,28,34494
2021,6,29,35911
2021,6,30,35045
2021,7,1,33504
2021,7,2,33786
2021,7,3,34669
2021,7,4,35286
2021,7,5,33690
2021,7,6,34220
2021,7,7,33862
2021,7,8,32875
2021,7,9,33815
2021,7,10,33502
2021,7,11,34258
2021,7,12,33086
2021,7,13,32729
2021,7,14,32820
2021,7,15,31880
2021,7,16,31383
2021,7,17,31520
2021,7,18,31778
2021,7,19,30839
2021,7,20,29790
2021,7,21,32144
2021,7,22,32287
2021,7,23,33634
2021,7,24,34258
2021,7,25,35381
2021,7,26,37237
2021,7,27,39457
2021,7,28,40019
2021,7,29,40016
2021,7,30,42206
2021,7,31,41461
2021,8,1,39845
2021,8,2,39147
2021,8,3,38207
2021,8,4,39723
2021,8,5,40862
2021,8,6,42836
2021,8,7,44572
2021,8,8,43794
2021,8,9,46253
2021,8,10,45584
2021,8,11,45511
2021,8,12,44399
2021,8,13,47800
2021,8,14,47068
2021,8,15,46973
2021,8,16,45901
2021,8,17,44695
2021,8,18,44705
2021,8,19,46760
2021,8,20,49322
2021,8,21,48821
2021,8,22,49239
2021,8,23,49488
2021,8,24,47674
2021,8,25,48973
2021,8,26,46843
2021,8,27,49069
2021,8,28,48895
2021,8,29,48767
2021,8,30,46982
2021,8,31,47100
2021,9,1,48810
2021,9,2,49246
2021,9,3,49999
2021,9,4,49915
2021,9,5,51756
2021,9,6,52663
2021,9,7,46863
2021,9,8,46048
2021,9,9,46395
2021,9,10,44850
2021,9,11,45173
2021,9,12,46025
2021,9,13,44940
2021,9,14,47111
2021,9,15,48121
2021,9,16,47737
2021,9,17,47299
2021,9,18,48292
2021,9,19,47241
2021,9,20,43015
2021,9,21,40734
2021,9,22,43543
2021,9,23,44865
2021,9,24,42810
2021,9,25,42670
2021,9,26,43160
2021,9,27,42147
2021,9,28,41026
2021,9,29,41524
2021,9,30,43824
2021,10,1,48141
2021,10,2,47634
2021,10,3,48200
2021,10,4,49224
2021,10,5,51471
2021,10,6,55315
2021,10,7,53785
2021,10,8,53951
2021,10,9,54949
2021,10,10,54659
2021,10,11,57471
2021,10,12,55996
2021,10,13,57367
2021,10,14,57347
2021,10,15,61672
2021,10,16,60875
2021,10,17,61528
2021,10,18,62009
2021,10,19,64280
2021,10,20,66001
2021,10,21,62193
2021,10,22,60688
2021,10,23,61286
2021,10,24,60852
2021,10,25,63078
2021,10,26,60328
2021,10,27,58413
2021,10,28,60575
2021,10,29,62253
2021,10,30,61859
2021,10,31,61299
2021,11,1,60911
2021,11,2,63219
2021,11,3,62896
2021,11,4,61395
2021,11,5,60937
2021,11,6,61470
2021,11,7,63273
2021,11,8,67525
2021,11,9,66947
2021,11,10,64882
2021,11,11,64774
2021,11,12,64122
2021,11,13,64380
2021,11,14,65519
2021,11,15,63606
2021,11,16,60058
2021,11,17,60344
2021,11,18,56891
2021,11,19,58052
2021,11,20,59707
2021,11,21,58622
2021,11,22,56247
2021,11,23,57541
2021,11,24,57138
2021,11,25,58960
2021,11,26,53726
2021,11,27,54721
2021,11,28,57274
2021,11,29,57776
2021,11,30,56950
2021,12,1,57184
2021,12,2,56480
2021,12,3,53601
2021,12,4,49152
2021,12,5,49396
2021,12,6,50441
2021,12,7,50588
2021,12,8,50471
2021,12,9,47545
2021,12,10,47140
2021,12,11,49389
2021,12,12,50053
2021,12,13,46702
2021,12,14,48343
2021,12,15,48864
2021,12,16,47632
2021,12,17,46131
2021,12,18,46834
2021,12,19,46681
2021,12,20,46914
2021,12,21,48889
2021,12,22,48588
2021,12,23,50838
2021,12,24,50820
2021,12,25,50399
2021,12,26,50775
2021,12,27,50701
2021,12,28,47543
2021,12,29,46464
2021,12,30,47120
2021,12,31,46216
