year,month,day,price
2018,1,1,13380
2018,1,2,14675
2018,1,3,14919
2018,1,4,15059
2018,1,5,16960
2018,1,6,17069
2018,1,7,16150
2018,1,8,14902
2018,1,9,14400
2018,1,10,14907
2018,1,11,13238
2018,1,12,13740
2018,1,13,14210
2018,1,14,13474
2018,1,15,13539
2018,1,16,10900
2018,1,17,10988
2018,1,18,10961
2018,1,19,11474
2018,1,20,12799
2018,1,21,11530
2018,1,22,10760
2018,1,23,10799
2018,1,24,11349
2018,1,25,11175
2018,1,26,11089
2018,1,27,11491
2018,1,28,11879
2018,1,29,11251
2018,1,30,10237
2018,1,31,10285
2018,2,1,9224
2018,2,2,8873
2018,2,3,9199
2018,2,4,8184
2018,2,5,6939
2018,2,6,7652
2018,2,7,7599
2018,2,8,7784
2018,2,9,8683
2018,2,10,8533
2018,2,11,8063
2018,2,12,8903
2018,2,13,8539
2018,2,14,9449
2018,2,15,10000
2018,2,16,10159
2018,2,17,11039
2018,2,18,10383
2018,2,19,11153
2018,2,20,11200
2018,2,21,10437
2018,2,22,9811
2018,2,23,10131
2018,2,24,9694
2018,2,25,9590
2018,2,26,10324
2018,2,27,10569
2018,2,28,10326
2018,3,1,10920
2018,3,2,11039
2018,3,3,11464
2018,3,4,11515
2018,3,5,11454
2018,3,6,10716
2018,3,7,9910
2018,3,8,9271
2018,3,9,9227
2018,3,10,8770
2018,3,11,9533
2018,3,12,9131
2018,3,13,9150
2018,3,14,8170
2018,3,15,8240
2018,3,16,8260
2018,3,17,7824
2018,3,18,8189
2018,3,19,8600
2018,3,20,8909
2018,3,21,8885
2018,3,22,8722
2018,3,23,8898
2018,3,24,8546
2018,3,25,8470
2018,3,26,8134
2018,3,27,7795
2018,3,28,7949
2018,3,29,7090
2018,3,30,6840
2018,3,31,6923
2018,4,1,6813
2018,4,2,7056
2018,4,3,7405
2018,4,4,6796
2018,4,5,6770
2018,4,6,6601
2018,4,7,6895
2018,4,8,7018
2018,4,9,6782
2018,4,10,6843
2018,4,11,6953
2018,4,12,7923
2018,4,13,7877
2018,4,14,7999
2018,4,15,8355
2018,4,16,8064
2018,4,17,7885
2018,4,18,8173
2018,4,19,8278
2018,4,20,8856
2018,4,21,8915
2018,4,22,8787
2018,4,23,8934
2018,4,24,9619
2018,4,25,8869
2018,4,26,9266
2018,4,27,8915
2018,4,28,9348
2018,4,29,9419
2018,4,30,9246
2018,5,1,9071
2018,5,2,9247
2018,5,3,9750
2018,5,4,9713
2018,5,5,9864
2018,5,6,9659
2018,5,7,9365
2018,5,8,9187
2018,5,9,9310
2018,5,10,9002
2018,5,11,8400
2018,5,12,8465
2018,5,13,8679
2018,5,14,8663
2018,5,15,8462
2018,5,16,8330
2018,5,17,8041
2018,5,18,8239
2018,5,19,8233
2018,5,20,8526
2018,5,21,8381
2018,5,22,7977
2018,5,23,7501
2018,5,24,7575
2018,5,25,7457
2018,5,26,7333
2018,5,27,7338
2018,5,28,7099
2018,5,29,7461
2018,5,30,7375
2018,5,31,7485
2018,6,1,7521
2018,6,2,7640
2018,6,3,7714
2018,6,4,7487
2018,6,5,7625
2018,6,6,7658
2018,6,7,7691
2018,6,8,7603
2018,6,9,7491
2018,6,10,6764
2018,6,11,6872
2018,6,12,6530
2018,6,13,6292
2018,6,14,6635
2018,6,15,6388
2018,6,16,6483
2018,6,17,6449
2018,6,18,6712
2018,6,19,6741
2018,6,20,6761
2018,6,21,6718
2018,6,22,6045
2018,6,23,6149
2018,6,24,6136
2018,6,25,6252
2018,6,26,6070
2018,6,27,6133
2018,6,28,5853
2018,6,29,6197
2018,6,30,6390
2018,7,1,6356
2018,7,2,6615
2018,7,3,6513
2018,7,4,6586
2018,7,5,6529
2018,7,6,6609
2018,7,7,6756
2018,7,8,6712
2018,7,9,6662
2018,7,10,6296
2018,7,11,6378
2018,7,12,6250
2018,7,13,6214
2018,7,14,6251
2018,7,15,6353
2018,7,16,6723
2018,7,17,7317
2018,7,18,7381
2018,7,19,7466
2018,7,20,7337
2018,7,21,7398
2018,7,22,7394
2018,7,23,7721
2018,7,24,8397
2018,7,25,8175
2018,7,26,7920
2018,7,27,8188
2018,7,28,8225
2018,7,29,8211
2018,7,30,8173
2018,7,31,7730
2018,8,1,7604
2018,8,2,7525
2018,8,3,7418
2018,8,4,7009
2018,8,5,7024
2018,8,6,6934
2018,8,7,6720
2018,8,8,6285
2018,8,9,6529
2018,8,10,6144
2018,8,11,6232
2018,8,12,6308
2018,8,13,6246
2018,8,14,6188
2018,8,15,6267
2018,8,16,6311
2018,8,17,6584
2018,8,18,6387
2018,8,19,6477
2018,8,20,6254
2018,8,21,6480
2018,8,22,6360
2018,8,23,6525
2018,8,24,6681
2018,8,25,6733
2018,8,26,6700
2018,8,27,6908
2018,8,28,7076
2018,8,29,7031
2018,8,30,6984
2018,8,31,7011
2018,9,1,7200
2018,9,2,7302
2018,9,3,7263
2018,9,4,7359
2018,9,5,6700
2018,9,6,6516
2018,9,7,6395
2018,9,8,6185
2018,9,9,6250
2018,9,10,6312
2018,9,11,6294
2018,9,12,6338
2018,9,13,6487
2018,9,14,6476
2018,9,15,6514
2018,9,16,6505
2018,9,17,6248
2018,9,18,6336
2018,9,19,6391
2018,9,20,6492
2018,9,21,6759
2018,9,22,6723
2018,9,23,6708
2018,9,24,6581
2018,9,25,6447
2018,9,26,6465
2018,9,27,6689
2018,9,28,6634
2018,9,29,6596
