year,month,day,price
2023,8,1,29705
2023,8,2,29186
2023,8,3,29193
2023,8,4,29113
2023,8,5,29072
2023,8,6,29088
2023,8,7,29211
2023,8,8,29770
2023,8,9,29581
2023,8,10,29455
2023,8,11,29426
2023,8,12,29430
2023,8,13,29303
2023,8,14,29430
2023,8,15,29200
2023,8,16,28730
2023,8,17,26623
2023,8,18,26054
2023,8,19,26100
2023,8,20,26189
2023,8,21,26126
2023,8,22,26056
2023,8,23,26432
2023,8,24,26180
2023,8,25,26060
2023,8,26,26017
2023,8,27,26101
2023,8,28,26120
2023,8,29,27716
2023,8,30,27299
2023,8,31,25940
