year,month,day,price
2022,5,1,38468
2022,5,2,38525
2022,5,3,37728
2022,5,4,39690
2022,5,5,36552
2022,5,6,36013
2022,5,7,35472
2022,5,8,34038
2022,5,9,30076
2022,5,10,31017
2022,5,11,29103
2022,5,12,29029
2022,5,13,29287
2022,5,14,30086
2022,5,15,31328
2022,5,16,29874
2022,5,17,30444
2022,5,18,28715
2022,5,19,30319
2022,5,20,29201
2022,5,21,29445
2022,5,22,30293
2022,5,23,29109
2022,5,24,29654
2022,5,25,29542
2022,5,26,29201
2022,5,27,28629
2022,5,28,29031
2022,5,29,29468
2022,5,30,31734
2022,5,31,31801
