timestamp,date,year,month,day,hour,minute,price
1693526400000,2023-09-01,2023,9,1,0,0,25805.05
1693612800000,2023-09-02,2023,9,2,0,0,25869.51
1693699200000,2023-09-03,2023,9,3,0,0,25971.21
1693785600000,2023-09-04,2023,9,4,0,0,25826.02
1693872000000,2023-09-05,2023,9,5,0,0,25792.1
1693958400000,2023-09-06,2023,9,6,0,0,25759.95
1694044800000,2023-09-07,2023,9,7,0,0,26255.0
1694131200000,2023-09-08,2023,9,8,0,0,25910.5
1694217600000,2023-09-09,2023,9,9,0,0,25901.61
1694304000000,2023-09-10,2023,9,10,0,0,25841.61
1694390400000,2023-09-11,2023,9,11,0,0,25162.52
1694476800000,2023-09-12,2023,9,12,0,0,25840.1
1694563200000,2023-09-13,2023,9,13,0,0,26222.0
1694649600000,2023-09-14,2023,9,14,0,0,26522.73
1694736000000,2023-09-15,2023,9,15,0,0,26600.0
1694822400000,2023-09-16,2023,9,16,0,0,26559.67
1694908800000,2023-09-17,2023,9,17,0,0,26527.51
1694995200000,2023-09-18,2023,9,18,0,0,26762.51
1695081600000,2023-09-19,2023,9,19,0,0,27210.26
1695168000000,2023-09-20,2023,9,20,0,0,27125.0
1695254400000,2023-09-21,2023,9,21,0,0,26568.08
1695340800000,2023-09-22,2023,9,22,0,0,26580.14
1695427200000,2023-09-23,2023,9,23,0,0,26575.96
1695513600000,2023-09-24,2023,9,24,0,0,26248.38
1695600000000,2023-09-25,2023,9,25,0,0,26304.81
1695686400000,2023-09-26,2023,9,26,0,0,26221.67
1695772800000,2023-09-27,2023,9,27,0,0,26372.99
1695859200000,2023-09-28,2023,9,28,0,0,27021.39
1695945600000,2023-09-29,2023,9,29,0,0,26906.96
1696032000000,2023-09-30,2023,9,30,0,0,26962.56
