timestamp,date,year,month,day,hour,minute,price
1575158400000,2019-12-01,2019,12,1,0,0,7390.89
1575244800000,2019-12-02,2019,12,2,0,0,7294.28
1575331200000,2019-12-03,2019,12,3,0,0,7292.71
1575417600000,2019-12-04,2019,12,4,0,0,7194.32
1575504000000,2019-12-05,2019,12,5,0,0,7389.0
1575590400000,2019-12-06,2019,12,6,0,0,7527.47
1575676800000,2019-12-07,2019,12,7,0,0,7488.21
1575763200000,2019-12-08,2019,12,8,0,0,7510.11
1575849600000,2019-12-09,2019,12,9,0,0,7338.64
1575936000000,2019-12-10,2019,12,10,0,0,7224.13
1576022400000,2019-12-11,2019,12,11,0,0,7210.0
1576108800000,2019-12-12,2019,12,12,0,0,7198.08
1576195200000,2019-12-13,2019,12,13,0,0,7258.48
1576281600000,2019-12-14,2019,12,14,0,0,7064.05
1576368000000,2019-12-15,2019,12,15,0,0,7118.59
1576454400000,2019-12-16,2019,12,16,0,0,6891.72
1576540800000,2019-12-17,2019,12,17,0,0,6623.82
1576627200000,2019-12-18,2019,12,18,0,0,7277.83
1576713600000,2019-12-19,2019,12,19,0,0,7150.3
1576800000000,2019-12-20,2019,12,20,0,0,7187.83
1576886400000,2019-12-21,2019,12,21,0,0,7132.75
1576972800000,2019-12-22,2019,12,22,0,0,7501.44
1577059200000,2019-12-23,2019,12,23,0,0,7317.09
1577145600000,2019-12-24,2019,12,24,0,0,7255.77
1577232000000,2019-12-25,2019,12,25,0,0,7204.63
1577318400000,2019-12-26,2019,12,26,0,0,7202.0
1577404800000,2019-12-27,2019,12,27,0,0,7254.74
1577491200000,2019-12-28,2019,12,28,0,0,7316.14
1577577600000,2019-12-29,2019,12,29,0,0,7388.24
1577664000000,2019-12-30,2019,12,30,0,0,7246.0
1577750400000,2019-12-31,2019,12,31,0,0,7195.23
