year,month,day,price
2020,8,1,11801
2020,8,2,11071
2020,8,3,11219
2020,8,4,11191
2020,8,5,11744
2020,8,6,11762
2020,8,7,11594
2020,8,8,11761
2020,8,9,11681
2020,8,10,11892
2020,8,11,11392
2020,8,12,11564
2020,8,13,11780
2020,8,14,11760
2020,8,15,11852
2020,8,16,11911
2020,8,17,12281
2020,8,18,11945
2020,8,19,11754
2020,8,20,11853
2020,8,21,11531
2020,8,22,11662
2020,8,23,11648
2020,8,24,11748
2020,8,25,11318
2020,8,26,11461
2020,8,27,11330
2020,8,28,11526
2020,8,29,11465
2020,8,30,11711
2020,8,31,11649
