year,month,day,price
2023,1,1,16616
2023,1,2,16672
2023,1,3,16675
2023,1,4,16850
2023,1,5,16831
2023,1,6,16950
2023,1,7,16943
2023,1,8,17127
2023,1,9,17178
2023,1,10,17440
2023,1,11,17943
2023,1,12,18846
2023,1,13,19930
2023,1,14,20954
2023,1,15,20871
2023,1,16,21185
2023,1,17,21134
2023,1,18,20677
2023,1,19,21071
2023,1,20,22667
2023,1,21,22783
2023,1,22,22707
2023,1,23,22916
2023,1,24,22632
2023,1,25,23060
2023,1,26,23009
2023,1,27,23074
2023,1,28,23022
2023,1,29,23742
2023,1,30,22826
2023,1,31,23125
