year,month,day,price
2022,1,1,47722
2022,1,2,47286
2022,1,3,46446
2022,1,4,45832
2022,1,5,43451
2022,1,6,43082
2022,1,7,41566
2022,1,8,41679
2022,1,9,41864
2022,1,10,41822
2022,1,11,42729
2022,1,12,43902
2022,1,13,42560
2022,1,14,43059
2022,1,15,43084
2022,1,16,43071
2022,1,17,42201
2022,1,18,42352
2022,1,19,41660
2022,1,20,40680
2022,1,21,36445
2022,1,22,35071
2022,1,23,36244
2022,1,24,36660
2022,1,25,36958
2022,1,26,36809
2022,1,27,37160
2022,1,28,37716
2022,1,29,38166
2022,1,30,37881
2022,1,31,38466
