year,month,day,price
2022,12,1,16977
2022,12,2,17092
2022,12,3,16885
2022,12,4,17105
2022,12,5,16966
2022,12,6,17088
2022,12,7,16836
2022,12,8,17224
2022,12,9,17128
2022,12,10,17127
2022,12,11,17085
2022,12,12,17209
2022,12,13,17774
2022,12,14,17803
2022,12,15,17356
2022,12,16,16632
2022,12,17,16776
2022,12,18,16738
2022,12,19,16438
2022,12,20,16895
2022,12,21,16824
2022,12,22,16821
2022,12,23,16778
2022,12,24,16836
2022,12,25,16832
2022,12,26,16919
2022,12,27,16706
2022,12,28,16547
2022,12,29,16633
2022,12,30,16607
2022,12,31,16542
