year,month,day,price
2018,10,1,6611
2018,10,2,6525
2018,10,3,6510
2018,10,4,6593
2018,10,5,6635
2018,10,6,6594
2018,10,7,6615
2018,10,8,6673
2018,10,9,6656
2018,10,10,6631
2018,10,11,6252
2018,10,12,6298
2018,10,13,6332
2018,10,14,6339
2018,10,15,6752
2018,10,16,6759
2018,10,17,6740
2018,10,18,6618
2018,10,19,6528
2018,10,20,6588
2018,10,21,6590
2018,10,22,6581
2018,10,23,6553
2018,10,24,6565
2018,10,25,6528
2018,10,26,6538
2018,10,27,6505
2018,10,28,6489
2018,10,29,6344
2018,10,30,6330
2018,10,31,6371
