year,month,day,price
2023,5,1,28068
2023,5,2,28669
2023,5,3,29026
2023,5,4,28838
2023,5,5,29505
2023,5,6,28848
2023,5,7,28430
2023,5,8,27668
2023,5,9,27628
2023,5,10,27598
2023,5,11,26968
2023,5,12,26795
2023,5,13,26775
2023,5,14,26917
2023,5,15,27162
2023,5,16,27033
2023,5,17,27405
2023,5,18,26821
2023,5,19,26880
2023,5,20,27102
2023,5,21,26747
2023,5,22,26849
2023,5,23,27219
2023,5,24,26329
2023,5,25,26473
2023,5,26,26705
2023,5,27,26854
2023,5,28,28065
2023,5,29,27736
2023,5,30,27694
2023,5,31,27210
