year,month,day,price
2020,11,1,13761
2020,11,2,13549
2020,11,3,14023
2020,11,4,14144
2020,11,5,15590
2020,11,6,15579
2020,11,7,14818
2020,11,8,15475
2020,11,9,15328
2020,11,10,15297
2020,11,11,15684
2020,11,12,16291
2020,11,13,16320
2020,11,14,16070
2020,11,15,15957
2020,11,16,16713
2020,11,17,17659
2020,11,18,17776
2020,11,19,17802
2020,11,20,18655
2020,11,21,18703
2020,11,22,18414
2020,11,23,18368
2020,11,24,19160
2020,11,25,18719
2020,11,26,17149
2020,11,27,17139
2020,11,28,17719
2020,11,29,18184
2020,11,30,19695
