year,month,day,price
2020,10,1,10619
2020,10,2,10570
2020,10,3,10542
2020,10,4,10666
2020,10,5,10792
2020,10,6,10599
2020,10,7,10666
2020,10,8,10925
2020,10,9,11050
2020,10,10,11293
2020,10,11,11369
2020,10,12,11528
2020,10,13,11420
2020,10,14,11417
2020,10,15,11505
2020,10,16,11319
2020,10,17,11360
2020,10,18,11503
2020,10,19,11751
2020,10,20,11909
2020,10,21,12780
2020,10,22,12968
2020,10,23,12923
2020,10,24,13111
2020,10,25,13028
2020,10,26,13052
2020,10,27,13636
2020,10,28,13266
2020,10,29,13455
2020,10,30,13560
2020,10,31,13791
